,순위,영화명,감독,장르,스크린수,관객수,개봉일,국가,등급
0,1,명량,김한민,"사극,액션",1587,17613682,2014-07-30,한국,15세이상관람가
1,2,극한직업,이병헌,코미디,1978,16264944,2019-01-23,한국,15세이상관람가
2,3,신과함께-죄와 벌,김용화,"판타지,드라마",1912,14410754,2017-12-20,한국,12세이상관람가
3,4,국제시장,윤제균,드라마,966,14245998,2014-12-17,한국,12세이상관람가
4,5,어벤져스: 엔드게임,"안소니 루소,조 루소","액션,SF",2835,13934592,2019-04-24,미국,12세이상관람가
5,6,겨울왕국 2,"크리스 벅,제니퍼 리",애니메이션,2648,13747792,2019-11-21,미국,전체관람가
6,7,아바타,제임스 카메론,"SF,액션,어드벤처",912,13624328,2009-12-17,미국,12세이상관람가
7,8,베테랑,류승완,"액션,드라마",1064,13395400,2015-08-05,한국,15세이상관람가
8,9,괴물,봉준호,"SF,가족,드라마",0,13019740,2006-07-27,한국,12세관람가
9,10,도둑들,최동훈,"액션,범죄",1072,12983330,2012-07-25,한국,15세이상관람가
10,11,7번방의 선물,이환경,"코미디,드라마",787,12811206,2013-01-23,한국,15세이상관람가
11,12,암살,최동훈,"액션,드라마",1519,12705700,2015-07-22,한국,15세이상관람가
12,13,알라딘,가이 리치,"어드벤처,가족,판타지",1311,12555894,2019-05-23,미국,전체관람가
13,14,"광해, 왕이 된 남자",추창민,"사극,드라마",810,12319542,2012-09-13,한국,15세이상관람가
14,15,왕의 남자,이준익,드라마,0,12302831,2005-12-29,한국,15세이상관람가
15,16,신과함께-인과 연,김용화,"판타지,드라마",2235,12253247,2018-08-01,한국,12세이상관람가
16,17,택시운전사,장훈,드라마,1906,12099971,2017-08-02,한국,15세이상관람가
17,18,태극기 휘날리며,강제규,"전쟁,드라마",0,11746135,2004-02-05,한국,15세관람가
18,19,부산행,연상호,"액션,스릴러",1788,11565078,2016-07-20,한국,15세이상관람가
19,20,해운대,윤제균,"액션,드라마,어드벤처",753,11453338,2009-07-22,한국,12세이상관람가
20,21,변호인,양우석,드라마,923,11372451,2013-12-18,한국,15세이상관람가
21,22,어벤져스: 인피니티 워,"안소니 루소,조 루소","액션,어드벤처,판타지,SF",2553,11211880,2018-04-25,미국,12세이상관람가
22,23,실미도,강우석,전쟁,0,11081000,2003-12-24,한국,15세관람가
23,24,어벤져스: 에이지 오브 울트론,조스 웨던,"액션,어드벤처,판타지,SF",1843,10494499,2015-04-23,미국,12세이상관람가
24,25,기생충,봉준호,드라마,1948,10313086,2019-05-30,한국,15세이상관람가
25,26,겨울왕국,"크리스 벅,제니퍼 리","애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",1010,10296101,2014-01-16,미국,전체관람가
26,27,인터스텔라,크리스토퍼 놀란,SF,1342,10273803,2014-11-06,미국,12세이상관람가
27,28,보헤미안 랩소디,브라이언 싱어,드라마,936,9948386,2018-10-31,미국,12세이상관람가
28,29,검사외전,이일형,"범죄,코미디",1812,9699092,2016-02-03,한국,15세이상관람가
29,30,엑시트,이상근,"코미디,액션",1660,9426051,2019-07-31,한국,12세이상관람가
30,31,엑시트,올리비에 메가턴,"코미디,액션",0,0,2001-11-09,프랑스,18세관람가
31,32,관상,한재림,"사극,드라마",1190,9134586,2013-09-11,한국,15세이상관람가
32,33,아이언맨 3,쉐인 블랙,"액션,어드벤처,SF",1381,9001309,2013-04-25,미국,12세이상관람가
33,34,설국열차,봉준호,"SF,액션",1128,8914845,2013-08-01,한국,15세이상관람가
34,35,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소","액션,SF,스릴러",1991,8677249,2016-04-27,미국,12세이상관람가
35,36,수상한 그녀,황동혁,드라마,692,8656397,2014-01-22,한국,15세이상관람가
36,37,해적: 바다로 간 산적,이석훈,어드벤처,838,8646758,2014-08-06,한국,12세이상관람가
37,38,국가대표,김용화,"드라마,액션,코미디",580,8487894,2009-07-29,한국,12세이상관람가
38,39,디워,심형래,"액션,판타지",0,8426973,2007-08-01,한국,12세이상관람가
39,40,백두산,"이해준,김병서","어드벤처,드라마",1971,8252669,2019-12-19,한국,12세이상관람가
40,41,과속스캔들,강형철,코미디,405,8245523,2008-12-03,한국,12세이상관람가
41,42,스파이더맨: 파 프롬 홈,존 왓츠,"액션,어드벤처,코미디,SF",2142,8020208,2019-07-02,미국,12세이상관람가
42,43,웰컴 투 동막골,박광현,"전쟁,드라마",0,8008622,2005-08-04,한국,12세관람가
43,44,트랜스포머 3,마이클 베이,"액션,어드벤처",1409,7784807,2011-06-29,미국,12세이상관람가
44,45,히말라야,이석훈,드라마,1009,7759473,2015-12-16,한국,12세이상관람가
45,46,미션임파서블:고스트프로토콜,브래드 버드,액션,1038,7575899,2011-12-15,미국,15세이상관람가
46,47,트랜스포머: 패자의 역습,마이클 베이,"SF,액션,어드벤처",1129,7505700,2009-06-24,미국,12세이상관람가
47,48,밀정,김지운,액션,1444,7487545,2016-09-07,한국,15세이상관람가
48,49,최종병기 활,김한민,"사극,액션",615,7466976,2011-08-10,한국,15세이상관람가
49,50,트랜스포머,마이클 베이,"SF,액션,어드벤처",0,7440531,2007-06-28,미국,12세이상관람가
50,51,써니,강형철,"드라마,코미디",472,7328820,2011-05-04,한국,15세이상관람가
51,52,화려한 휴가,김지훈,드라마,0,7307993,2007-07-25,한국,12세이상관람가
52,53,스파이더맨: 홈 커밍,존 왓츠,"액션,어드벤처,SF",1965,7257973,2017-07-05,미국,12세이상관람가
53,54,베를린,류승완,액션,894,7166199,2013-01-30,한국,15세이상관람가
54,55,터널,김성훈,드라마,1105,7118592,2016-08-10,한국,12세이상관람가
55,56,어벤져스,조스 웨던,"액션,SF",967,7074867,2012-04-26,미국,12세이상관람가
56,57,내부자들,우민호,"범죄,드라마",1075,7071763,2015-11-19,한국,청소년관람불가
57,58,인천상륙작전,이재한,"전쟁,드라마",1049,7049643,2016-07-27,한국,12세이상관람가
58,59,럭키,이계벽,코미디,1158,6965706,2016-10-13,한국,15세이상관람가
59,60,럭키,애비 루트라,코미디,1,100,2013-06-19,남아프리카공화국,15세이상관람가
60,61,은밀하게 위대하게,장철수,"액션,코미디,드라마",1341,6953800,2013-06-05,한국,15세이상관람가
61,62,곡성,나홍진,"미스터리,스릴러,드라마",1485,6878264,2016-05-12,한국,15세이상관람가
