순위,영화명,감독,관객수,제작국가,장르,국적
1,명량,김한민,17613682,한국,"사극,액션",한국
2,극한직업,이병헌,16264944,한국,코미디,한국
3,신과함께-죄와 벌,김용화,14410754,한국,"판타지,드라마",한국
4,국제시장,윤제균,14245998,한국,드라마,한국
5,어벤져스: 엔드게임,"안소니 루소,조 루소",13934592,미국,"액션,SF",미국
6,겨울왕국 2,"크리스 벅,제니퍼 리",13747792,미국,애니메이션,미국
7,아바타,제임스 카메론,13624328,미국,"SF,액션,어드벤처",미국
8,베테랑,류승완,13395400,한국,"액션,드라마",한국
9,괴물,봉준호,13019740,한국,"SF,가족,드라마",한국
10,도둑들,최동훈,12983330,"한국,홍콩","액션,범죄",한국
11,7번방의 선물,이환경,12811206,한국,"코미디,드라마",한국
12,암살,최동훈,12705700,한국,"액션,드라마",한국
13,알라딘,가이 리치,12555894,미국,"어드벤처,가족,판타지",미국
14,"광해, 왕이 된 남자",추창민,12319542,한국,"사극,드라마",한국
15,왕의 남자,이준익,12302831,한국,드라마,한국
16,신과함께-인과 연,김용화,12253247,한국,"판타지,드라마",한국
17,택시운전사,장훈,12099971,한국,드라마,한국
18,태극기 휘날리며,강제규,11746135,한국,"전쟁,드라마",한국
19,부산행,연상호,11565078,한국,"액션,스릴러",한국
20,해운대,윤제균,11453338,한국,"액션,드라마,어드벤처",한국
21,변호인,양우석,11372451,한국,드라마,한국
22,어벤져스: 인피니티 워,"안소니 루소,조 루소",11211880,미국,"액션,어드벤처,판타지,SF",미국
23,실미도,강우석,11081000,한국,전쟁,한국
24,어벤져스: 에이지 오브 울트론,조스 웨던,10494499,미국,"액션,어드벤처,판타지,SF",미국
25,기생충,봉준호,10313086,한국,드라마,한국
26,겨울왕국,"크리스 벅,제니퍼 리",10296101,미국,"애니메이션,어드벤처,가족,코미디,뮤지컬,판타지",미국
27,인터스텔라,크리스토퍼 놀란,10273803,"미국,영국",SF,미국
28,보헤미안 랩소디,브라이언 싱어,9948386,미국,드라마,미국
29,검사외전,이일형,9699092,한국,"범죄,코미디",한국
30,엑시트,이상근,9426051,프랑스,"스릴러,SF",한국
31,엑시트,이상근,9426051,프랑스,"스릴러,SF",한국
30,엑시트,이상근,9426051,한국,"코미디,액션",한국
31,엑시트,이상근,9426051,한국,"코미디,액션",한국
32,관상,한재림,9134586,한국,"사극,드라마",한국
33,아이언맨 3,쉐인 블랙,9001309,미국,"액션,어드벤처,SF",미국
34,설국열차,봉준호,8914845,"한국,체코","SF,액션",한국
35,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",8677249,미국,"액션,SF,스릴러",미국
36,수상한 그녀,황동혁,8656397,한국,드라마,한국
37,해적: 바다로 간 산적,이석훈,8646758,한국,어드벤처,한국
38,국가대표,김용화,8487894,한국,"드라마,액션,코미디",한국
39,디워,심형래,8426973,한국,"액션,판타지",한국
40,백두산,"이해준,김병서",8252669,한국,"어드벤처,드라마",한국
41,과속스캔들,강형철,8245523,한국,코미디,한국
42,스파이더맨: 파 프롬 홈,존 왓츠,8020208,미국,"액션,어드벤처,코미디,SF",미국
43,웰컴 투 동막골,박광현,8008622,한국,"전쟁,드라마",한국
44,트랜스포머 3,마이클 베이,7784807,미국,"액션,어드벤처",미국
45,히말라야,이석훈,7759473,한국,드라마,한국
46,미션임파서블:고스트프로토콜,브래드 버드,7575899,미국,액션,미국
47,트랜스포머: 패자의 역습,마이클 베이,7505700,미국,"SF,액션,어드벤처",미국
48,밀정,김지운,7487545,"한국,미국",액션,한국
49,최종병기 활,김한민,7466976,한국,"사극,액션",한국
50,트랜스포머,마이클 베이,7440531,미국,"SF,액션,어드벤처",미국
51,써니,강형철,7328820,한국,"드라마,코미디",한국
52,화려한 휴가,김지훈,7307993,한국,드라마,한국
53,스파이더맨: 홈 커밍,존 왓츠,7257973,미국,"액션,어드벤처,SF",미국
54,베를린,류승완,7166199,"한국,독일",액션,한국
55,터널,김성훈,7118592,한국,드라마,한국
56,어벤져스,조스 웨던,7074867,미국,"액션,SF",미국
57,내부자들,우민호,7071763,한국,"범죄,드라마",한국
58,인천상륙작전,이재한,7049643,한국,"전쟁,드라마",한국
59,럭키,이계벽,6965706,한국,코미디,한국
60,럭키,이계벽,6965706,한국,코미디,한국
59,럭키,이계벽,6965706,남아프리카공화국,가족,한국
60,럭키,이계벽,6965706,남아프리카공화국,가족,한국
61,은밀하게 위대하게,장철수,6953800,한국,"액션,코미디,드라마",한국
62,곡성,나홍진,6878264,"한국,미국","미스터리,스릴러,드라마",한국
63,범죄도시,강윤성,6851297,한국,"범죄,액션",한국
64,범죄도시,강윤성,6851297,한국,"범죄,액션",한국
63,범죄도시,강윤성,6851297,미국,"액션,스릴러",한국
64,범죄도시,강윤성,6851297,미국,"액션,스릴러",한국
65,타짜,최동훈,6847777,한국,드라마,한국
66,늑대소년,조성희,6654837,한국,"멜로/로맨스,드라마,판타지",한국
67,미녀는 괴로워,김용화,6619498,한국,"멜로/로맨스,코미디",한국
68,군함도,류승완,6592151,한국,"액션,드라마",한국
69,미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,6584915,미국,"액션,스릴러",미국
70,다크 나이트 라이즈,크리스토퍼 놀란,6396528,"미국,영국","액션,범죄,스릴러",미국
71,아저씨,이정범,6282774,한국,"액션,드라마",한국
72,사도,이준익,6246849,한국,사극,한국
73,전우치,최동훈,6136928,한국,"액션,코미디,판타지",한국
74,미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,6126488,미국,"액션,스릴러,어드벤처",미국
75,킹스맨 : 시크릿 에이전트,매튜 본,6125154,"미국,영국","액션,스릴러",미국
76,투사부일체,김동원,6105431,한국,코미디,한국
77,연평해전,김학순,6043458,한국,드라마,한국
78,반지의 제왕 : 왕의 귀환,피터 잭슨,5960000,"미국,뉴질랜드","판타지,어드벤처",미국
79,인셉션,크리스토퍼 놀란,5926948,미국,"드라마,미스터리",미국
80,레미제라블,톰 후퍼,5911890,미국,드라마,미국
81,캡틴 마블,"애너 보든,라이언 플렉",5801069,미국,"액션,어드벤처,SF",미국
82,미션 임파서블 3,J.J. 에이브럼스,5740789,미국,액션,미국
83,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,5661128,미국,"액션,어드벤처,SF",미국
84,청년경찰,김주환,5636259,한국,액션,한국
85,가문의 위기(가문의 영광2),정용기,5635266,한국,코미디,한국
86,숨바꼭질,허정,5602543,미국,"드라마,공포(호러),스릴러",한국
87,숨바꼭질,허정,5602543,미국,"드라마,공포(호러),스릴러",한국
86,숨바꼭질,허정,5602543,한국,스릴러,한국
87,숨바꼭질,허정,5602543,한국,스릴러,한국
88,덕혜옹주,허진호,5593551,한국,"사극,드라마",한국
89,더 테러 라이브,김병우,5583596,한국,"범죄,기타",한국
90,쥬라기 월드,콜린 트레보로우,5546792,미국,"액션,어드벤처,SF",미국
91,의형제,장훈,5507106,한국,"드라마,액션",한국
92,감시자들,"조의석,김병서",5496547,한국,"범죄,액션",한국
93,앤트맨과 와스프,페이튼 리드,5447826,미국,"액션,어드벤처,SF",미국
94,닥터 스트레인지,스콧 데릭슨,5446379,미국,"액션,어드벤처,판타지",미국
95,검은 사제들,장재현,5440945,한국,"미스터리,드라마",한국
96,안시성,김광식,5440186,한국,"사극,액션",한국
97,블랙 팬서,라이언 쿠글러,5398994,미국,"액션,드라마,SF",미국
98,완득이,이한,5310510,한국,드라마,한국
99,트랜스포머: 사라진 시대,마이클 베이,5295801,미국,"액션,SF,어드벤처",미국
