,영화명,감독,개봉일,국가,스크린수,관객수,관람가,장르,개봉연도,개봉월,흥행
1,명량,김한민,2014-07-30,한국,1587,17613682,15세이상,사극,2014,7,1
2,극한직업,이병헌,2019-01-23,한국,1978,16264944,15세이상,코미디,2019,1,1
3,신과함께-죄와 벌,김용화,2017-12-20,한국,1912,14410754,12세이상,판타지,2017,12,1
4,국제시장,윤제균,2014-12-17,한국,966,14245998,12세이상,드라마,2014,12,1
5,어벤져스: 엔드게임,안소니 루소,2019-04-24,미국,2835,13934592,12세이상,액션,2019,4,1
6,겨울왕국 2,크리스 벅,2019-11-21,미국,2648,13747792,전체,애니메이션,2019,11,1
7,아바타,제임스 카메론,2009-12-17,미국,912,13624328,12세이상,SF,2009,12,1
8,베테랑,류승완,2015-08-05,한국,1064,13395400,15세이상,액션,2015,8,1
9,괴물,봉준호,2006-07-27,한국,0,13019740,12세이상,SF,2006,7,1
10,도둑들,최동훈,2012-07-25,한국,1072,12983330,15세이상,액션,2012,7,1
11,7번방의 선물,이환경,2013-01-23,한국,787,12811206,15세이상,코미디,2013,1,1
12,암살,최동훈,2015-07-22,한국,1519,12705700,15세이상,액션,2015,7,1
13,알라딘,가이 리치,2019-05-23,미국,1311,12555894,전체,어드벤처,2019,5,1
14,"광해, 왕이 된 남자",추창민,2012-09-13,한국,810,12319542,15세이상,사극,2012,9,1
15,왕의 남자,이준익,2005-12-29,한국,0,12302831,15세이상,드라마,2005,12,1
16,신과함께-인과 연,김용화,2018-08-01,한국,2235,12253247,12세이상,판타지,2018,8,1
17,택시운전사,장훈,2017-08-02,한국,1906,12099971,15세이상,드라마,2017,8,1
18,태극기 휘날리며,강제규,2004-02-05,한국,0,11746135,15세이상,전쟁,2004,2,1
19,부산행,연상호,2016-07-20,한국,1788,11565078,15세이상,액션,2016,7,1
20,해운대,윤제균,2009-07-22,한국,753,11453338,12세이상,액션,2009,7,1
21,변호인,양우석,2013-12-18,한국,923,11372451,15세이상,드라마,2013,12,1
22,어벤져스: 인피니티 워,안소니 루소,2018-04-25,미국,2553,11211880,12세이상,액션,2018,4,1
23,실미도,강우석,2003-12-24,한국,0,11081000,15세이상,전쟁,2003,12,1
24,어벤져스: 에이지 오브 울트론,조스 웨던,2015-04-23,미국,1843,10494499,12세이상,액션,2015,4,1
25,기생충,봉준호,2019-05-30,한국,1948,10313086,15세이상,드라마,2019,5,1
26,겨울왕국,크리스 벅,2014-01-16,미국,1010,10296101,전체,애니메이션,2014,1,1
27,인터스텔라,크리스토퍼 놀란,2014-11-06,미국,1342,10273803,12세이상,SF,2014,11,1
28,보헤미안 랩소디,브라이언 싱어,2018-10-31,미국,936,9948386,12세이상,드라마,2018,10,1
