,순위,영화명,감독,장르,관객수,국가,관람가,개봉,개봉연도,개봉달,등급
0,1,명량,김한민,사극,17613682,한국,15세이상,2014-07-30,2014,7,1
1,2,극한직업,이병헌,코미디,16264944,한국,15세이상,2019-01-23,2019,1,1
2,3,신과함께-죄와 벌,김용화,판타지,14410754,한국,12세이상,2017-12-20,2017,12,1
3,4,국제시장,윤제균,드라마,14245998,한국,12세이상,2014-12-17,2014,12,1
4,5,어벤져스: 엔드게임,"안소니 루소,조 루소",액션,13934592,미국,12세이상,2019-04-24,2019,4,1
5,6,겨울왕국 2,"크리스 벅,제니퍼 리",애니메이션,13747792,미국,전체,2019-11-21,2019,11,1
6,7,아바타,제임스 카메론,SF,13624328,미국,12세이상,2009-12-17,2009,12,1
7,8,베테랑,류승완,액션,13395400,한국,15세이상,2015-08-05,2015,8,1
8,9,괴물,봉준호,SF,13019740,한국,12세,2006-07-27,2006,7,1
9,10,도둑들,최동훈,액션,12983330,한국,15세이상,2012-07-25,2012,7,1
10,11,7번방의 선물,이환경,코미디,12811206,한국,15세이상,2013-01-23,2013,1,1
11,12,암살,최동훈,액션,12705700,한국,15세이상,2015-07-22,2015,7,1
12,13,알라딘,가이 리치,어드벤처,12555894,미국,전체,2019-05-23,2019,5,1
13,14,"광해, 왕이 된 남자",추창민,사극,12319542,한국,15세이상,2012-09-13,2012,9,1
14,15,왕의 남자,이준익,드라마,12302831,한국,15세이상,2005-12-29,2005,12,1
15,16,신과함께-인과 연,김용화,판타지,12253247,한국,12세이상,2018-08-01,2018,8,1
16,17,택시운전사,장훈,드라마,12099971,한국,15세이상,2017-08-02,2017,8,1
17,18,태극기 휘날리며,강제규,전쟁,11746135,한국,15세,2004-02-05,2004,2,1
18,19,부산행,연상호,액션,11565078,한국,15세이상,2016-07-20,2016,7,1
19,20,해운대,윤제균,액션,11453338,한국,12세이상,2009-07-22,2009,7,1
20,21,변호인,양우석,드라마,11372451,한국,15세이상,2013-12-18,2013,12,1
21,22,어벤져스: 인피니티 워,"안소니 루소,조 루소",액션,11211880,미국,12세이상,2018-04-25,2018,4,1
22,23,실미도,강우석,전쟁,11081000,한국,15세,2003-12-24,2003,12,1
23,24,어벤져스: 에이지 오브 울트론,조스 웨던,액션,10494499,미국,12세이상,2015-04-23,2015,4,1
24,25,기생충,봉준호,드라마,10313086,한국,15세이상,2019-05-30,2019,5,1
25,26,겨울왕국,"크리스 벅,제니퍼 리",애니메이션,10296101,미국,전체,2014-01-16,2014,1,1
26,27,인터스텔라,크리스토퍼 놀란,SF,10273803,미국,12세이상,2014-11-06,2014,11,1
27,28,보헤미안 랩소디,브라이언 싱어,드라마,9948386,미국,12세이상,2018-10-31,2018,10,2
28,29,검사외전,이일형,범죄,9699092,한국,15세이상,2016-02-03,2016,2,2
31,32,관상,한재림,사극,9134586,한국,15세이상,2013-09-11,2013,9,2
32,33,아이언맨 3,쉐인 블랙,액션,9001309,미국,12세이상,2013-04-25,2013,4,2
33,34,설국열차,봉준호,SF,8914845,한국,15세이상,2013-08-01,2013,8,2
34,35,캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",액션,8677249,미국,12세이상,2016-04-27,2016,4,2
35,36,수상한 그녀,황동혁,드라마,8656397,한국,15세이상,2014-01-22,2014,1,2
36,37,해적: 바다로 간 산적,이석훈,어드벤처,8646758,한국,12세이상,2014-08-06,2014,8,2
37,38,국가대표,김용화,드라마,8487894,한국,12세이상,2009-07-29,2009,7,2
38,39,디워,심형래,액션,8426973,한국,12세이상,2007-08-01,2007,8,2
39,40,백두산,"이해준,김병서",어드벤처,8252669,한국,12세이상,2019-12-19,2019,12,2
40,41,과속스캔들,강형철,코미디,8245523,한국,12세이상,2008-12-03,2008,12,2
41,42,스파이더맨: 파 프롬 홈,존 왓츠,액션,8020208,미국,12세이상,2019-07-02,2019,7,2
42,43,웰컴 투 동막골,박광현,전쟁,8008622,한국,12세,2005-08-04,2005,8,2
43,44,트랜스포머 3,마이클 베이,액션,7784807,미국,12세이상,2011-06-29,2011,6,2
44,45,히말라야,이석훈,드라마,7759473,한국,12세이상,2015-12-16,2015,12,2
45,46,미션임파서블:고스트프로토콜,브래드 버드,액션,7575899,미국,15세이상,2011-12-15,2011,12,2
46,47,트랜스포머: 패자의 역습,마이클 베이,SF,7505700,미국,12세이상,2009-06-24,2009,6,2
47,48,밀정,김지운,액션,7487545,한국,15세이상,2016-09-07,2016,9,2
48,49,최종병기 활,김한민,사극,7466976,한국,15세이상,2011-08-10,2011,8,2
49,50,트랜스포머,마이클 베이,SF,7440531,미국,12세이상,2007-06-28,2007,6,2
50,51,써니,강형철,드라마,7328820,한국,15세이상,2011-05-04,2011,5,2
51,52,화려한 휴가,김지훈,드라마,7307993,한국,12세이상,2007-07-25,2007,7,2
52,53,스파이더맨: 홈 커밍,존 왓츠,액션,7257973,미국,12세이상,2017-07-05,2017,7,2
53,54,베를린,류승완,액션,7166199,한국,15세이상,2013-01-30,2013,1,2
54,55,터널,김성훈,드라마,7118592,한국,12세이상,2016-08-10,2016,8,2
55,56,어벤져스,조스 웨던,액션,7074867,미국,12세이상,2012-04-26,2012,4,2
56,57,내부자들,우민호,범죄,7071763,한국,19세이상,2015-11-19,2015,11,2
57,58,인천상륙작전,이재한,전쟁,7049643,한국,12세이상,2016-07-27,2016,7,2
60,61,은밀하게 위대하게,장철수,액션,6953800,한국,15세이상,2013-06-05,2013,6,2
61,62,곡성,나홍진,미스터리,6878264,한국,15세이상,2016-05-12,2016,5,2
64,65,타짜,최동훈,드라마,6847777,한국,18세,2006-09-28,2006,9,2
65,66,늑대소년,조성희,멜로/로맨스,6654837,한국,15세이상,2012-10-31,2012,10,2
66,67,미녀는 괴로워,김용화,멜로/로맨스,6619498,한국,12세이상,2006-12-14,2006,12,2
67,68,군함도,류승완,액션,6592151,한국,15세이상,2017-07-26,2017,7,2
