,순위,영화명,감독,국가,스크린수,관객수,장르,관람가,등급,개봉,개봉연도,개봉월,영화명1
0,1,명량,김한민,한국,1587,17613682,사극,15세이상,1,2014-07-30,2014,7,
1,2,극한직업,이병헌,한국,1978,16264944,코미디,15세이상,1,2019-01-23,2019,1,
2,3,신과함께-죄와 벌,김용화,한국,1912,14410754,판타지,12세이상,1,2017-12-20,2017,12,
3,4,국제시장,윤제균,한국,966,14245998,드라마,12세이상,1,2014-12-17,2014,12,
4,5,어벤져스: 엔드게임(외국),"안소니 루소,조 루소",미국,2835,13934592,액션,12세이상,1,2019-04-24,2019,4,
5,6,겨울왕국 2(외국),"크리스 벅,제니퍼 리",미국,2648,13747792,애니메이션,전체,1,2019-11-21,2019,11,
6,7,아바타(외국),제임스 카메론,미국,912,13624328,SF,12세이상,1,2009-12-17,2009,12,
7,8,베테랑,류승완,한국,1064,13395400,액션,15세이상,1,2015-08-05,2015,8,
8,9,괴물,봉준호,한국,0,13019740,SF,12세,1,2006-07-27,2006,7,
9,10,도둑들,최동훈,한국,1072,12983330,액션,15세이상,1,2012-07-25,2012,7,
10,11,7번방의 선물,이환경,한국,787,12811206,코미디,15세이상,1,2013-01-23,2013,1,
11,12,암살,최동훈,한국,1519,12705700,액션,15세이상,1,2015-07-22,2015,7,
12,13,알라딘(외국),가이 리치,미국,1311,12555894,어드벤처,전체,1,2019-05-23,2019,5,
13,14,"광해, 왕이 된 남자",추창민,한국,810,12319542,사극,15세이상,1,2012-09-13,2012,9,
14,15,왕의 남자,이준익,한국,0,12302831,드라마,15세이상,1,2005-12-29,2005,12,
15,16,신과함께-인과 연,김용화,한국,2235,12253247,판타지,12세이상,1,2018-08-01,2018,8,
16,17,택시운전사,장훈,한국,1906,12099971,드라마,15세이상,1,2017-08-02,2017,8,
17,18,태극기 휘날리며,강제규,한국,0,11746135,전쟁,15세이상,1,2004-02-05,2004,2,
18,19,부산행,연상호,한국,1788,11565078,액션,15세이상,1,2016-07-20,2016,7,
19,20,해운대,윤제균,한국,753,11453338,액션,12세이상,1,2009-07-22,2009,7,
20,21,변호인,양우석,한국,923,11372451,드라마,15세이상,1,2013-12-18,2013,12,
21,22,어벤져스: 인피니티 워(외국),"안소니 루소,조 루소",미국,2553,11211880,액션,12세이상,1,2018-04-25,2018,4,
22,23,실미도,강우석,한국,0,11081000,전쟁,15세이상,1,2003-12-24,2003,12,
23,24,어벤져스: 에이지 오브 울트론(외국),조스 웨던,미국,1843,10494499,액션,12세이상,1,2015-04-23,2015,4,
24,25,기생충,봉준호,한국,1948,10313086,드라마,15세이상,1,2019-05-30,2019,5,
25,26,겨울왕국(외국),"크리스 벅,제니퍼 리",미국,1010,10296101,애니메이션,전체,1,2014-01-16,2014,1,
26,27,인터스텔라(외국),크리스토퍼 놀란,미국,1342,10273803,SF,12세이상,1,2014-11-06,2014,11,
27,28,보헤미안 랩소디(외국),브라이언 싱어,미국,936,9948386,드라마,12세이상,2,2018-10-31,2018,10,
28,29,검사외전,이일형,한국,1812,9699092,범죄,15세이상,2,2016-02-03,2016,2,
29,30,엑시트,이상근,한국,1660,9426051,코미디,12세이상,2,2019-07-31,2019,7,
30,31,관상,한재림,한국,1190,9134586,사극,15세이상,2,2013-09-11,2013,9,
31,32,아이언맨 3(외국),쉐인 블랙,미국,1381,9001309,액션,12세이상,2,2013-04-25,2013,4,
32,33,설국열차,봉준호,한국,1128,8914845,SF,15세이상,2,2013-08-01,2013,8,
33,34,캡틴 아메리카: 시빌 워(외국),"안소니 루소,조 루소",미국,1991,8677249,액션,12세이상,2,2016-04-27,2016,4,
34,35,수상한 그녀,황동혁,한국,692,8656397,드라마,15세이상,2,2014-01-22,2014,1,
35,36,해적: 바다로 간 산적,이석훈,한국,838,8646758,어드벤처,12세이상,2,2014-08-06,2014,8,
36,37,국가대표,김용화,한국,580,8487894,드라마,12세이상,2,2009-07-29,2009,7,
37,38,디워,심형래,한국,0,8426973,액션,12세이상,2,2007-08-01,2007,8,
38,39,백두산,"이해준,김병서",한국,1971,8252669,어드벤처,12세이상,2,2019-12-19,2019,12,
39,40,과속스캔들,강형철,한국,405,8245523,코미디,12세이상,2,2008-12-03,2008,12,
40,41,스파이더맨: 파 프롬 홈(외국),존 왓츠,미국,2142,8020208,액션,12세이상,2,2019-07-02,2019,7,
41,42,웰컴 투 동막골,박광현,한국,0,8008622,전쟁,12세,2,2005-08-04,2005,8,
42,43,트랜스포머 3(외국),마이클 베이,미국,1409,7784807,액션,12세이상,2,2011-06-29,2011,6,
43,44,히말라야,이석훈,한국,1009,7759473,드라마,12세이상,2,2015-12-16,2015,12,
44,45,미션임파서블:고스트프로토콜(외국),브래드 버드,미국,1038,7575899,액션,15세이상,2,2011-12-15,2011,12,
45,46,트랜스포머: 패자의 역습(외국),마이클 베이,미국,1129,7505700,SF,12세이상,2,2009-06-24,2009,6,
46,47,밀정,김지운,한국,1444,7487545,액션,15세이상,2,2016-09-07,2016,9,
47,48,최종병기 활,김한민,한국,615,7466976,사극,15세이상,2,2011-08-10,2011,8,
48,49,트랜스포머(외국),마이클 베이,미국,0,7440531,SF,12세이상,2,2007-06-28,2007,6,
49,50,써니,강형철,한국,472,7328820,드라마,15세이상,2,2011-05-04,2011,5,
50,51,화려한 휴가,김지훈,한국,0,7307993,드라마,12세이상,2,2007-07-25,2007,7,
51,52,스파이더맨: 홈 커밍(외국),존 왓츠,미국,1965,7257973,액션,12세이상,2,2017-07-05,2017,7,
52,53,베를린,류승완,한국,894,7166199,액션,15세이상,2,2013-01-30,2013,1,
53,54,터널,김성훈,한국,1105,7118592,드라마,12세이상,2,2016-08-10,2016,8,
54,55,어벤져스(외국),조스 웨던,미국,967,7074867,액션,12세이상,2,2012-04-26,2012,4,
55,56,내부자들,우민호,한국,1075,7071763,범죄,19세이상,2,2015-11-19,2015,11,
56,57,인천상륙작전,이재한,한국,1049,7049643,전쟁,12세이상,2,2016-07-27,2016,7,
57,58,럭키,이계벽,한국,1158,6965706,코미디,15세이상,2,2016-10-13,2016,10,
58,59,은밀하게 위대하게,장철수,한국,1341,6953800,액션,15세이상,2,2013-06-05,2013,6,
59,60,곡성,나홍진,한국,1485,6878264,미스터리,15세이상,2,2016-05-12,2016,5,
60,61,범죄도시,강윤성,한국,1315,6851297,범죄,19세이상,2,2017-10-03,2017,10,
61,62,타짜,최동훈,한국,0,6847777,드라마,18세이상,2,2006-09-28,2006,9,
62,63,늑대소년,조성희,한국,706,6654837,멜로/로맨스,15세이상,2,2012-10-31,2012,10,
